Results from heasarc_nustarssc2: NuSTAR Serendipitous Survey 40-Month Secondary Source Catalog
Coordinate system: Equatorial
|name                 |ra          |dec         |sb_flux  |sb_flux_error|sb_net_counts|sb_net_counts_error|hb_flux  |hb_flux_error|hb_net_counts|hb_net_counts_error|redshift|rf_hardxray_luminosity|source_number|lii       |bii       |sb_counts|sb_bck_counts|hb_counts|hb_bck_counts|fb_counts|fb_bck_counts|fb_net_counts|fb_net_counts_error|sb_exposure|hb_exposure|fb_exposure|sb_net_rate|sb_net_rate_error|hb_net_rate|hb_net_rate_error|fb_net_rate|fb_net_rate_error|fb_flux  |fb_flux_error|softxray_ctrpart_orig|softxray_ctrpart_ra|softxray_ctrpart_dec|opt_ctrpart_orig|opt_ra      |opt_dec     |primary_exclude_code|
|NuSTAR J202211+4353.6|20 22 11.268|+43 53 37.68|         |             |             |                   |         |             |             |                   |        |                      |           60| 81.138732|  3.943545|         |             |         |             |         |             |             |                   |           |           |           |           |                 |           |                 |           |                 |         |             |                     |                   |                    |                |            |            |X                   |
|NuSTAR J182446-2453.2|18 24 46.579|-24 53 16.55|         |             |             |                   |         |             |             |                   |        |                      |           58|  7.805939| -5.634949|         |             |         |             |         |             |             |                   |           |           |           |           |                 |           |                 |           |                 |         |             |CXO                  |       18 24 46.579|        -24 53 16.55|                |            |            |X                   |
|NuSTAR J092418-3142.2|09 24 18.199|-31 42 17.89|         |             |             |                   |         |             |             |                   |   0.000|                      |           20|259.567259| 13.224701|         |             |         |             |         |             |             |                   |           |           |           |           |                 |           |                 |           |                 |         |             |CXO                  |       09 24 18.199|        -31 42 17.89|MAN             |09 24 18.204|-31 42 17.69|X                   |
|NuSTAR J172822-1421.4|17 28 22.840|-14 21 25.00|         |             |             |                   |         |             |             |                   |   0.688|                      |           53| 10.319778| 11.104686|         |             |         |             |         |             |             |                   |           |           |           |           |                 |           |                 |           |                 |         |             |CXO                  |       17 28 22.840|        -14 21 25.00|MAN             |17 28 22.500|-14 21 25.12|X                   |
|NuSTAR J094734-3104.2|09 47 34.878|-31 04 13.32|1.288e-14|    4.381e-15|      149.192|             50.757|2.484e-14|   -9.900e+01|      105.498|            -99.000|        |                      |           21|262.814664| 17.130899| 2072.849|     1923.657| 1990.531|     1948.982| 4050.380|     3845.091|      205.289|             70.839|   643091.0|   513883.0|   523180.0|  3.742e-04|        1.273e-04|  3.311e-04|       -9.900e+01|  6.329e-04|        2.184e-04|3.163e-14|    1.092e-14|XMM                  |       09 47 34.368|        -31 04 06.82|WISE            |09 47 34.344|-31 04 06.08|X                   |
|NuSTAR J104949-5951.7|10 49 49.459|-59 51 46.69|1.916e-14|    4.734e-15|       80.319|             19.843|3.822e-14|    9.855e-15|       69.225|             17.848|        |                      |           26|288.211646| -0.513279|  315.555|      235.236|  254.573|      185.348|  569.128|      419.990|      149.138|             26.458|   465405.0|   438244.0|   439128.0|  5.567e-04|        1.375e-04|  5.095e-04|        1.314e-04|  1.096e-03|        1.944e-04|5.476e-14|    9.714e-15|XMM                  |       10 49 49.901|        -59 51 50.00|                |            |            |X                   |
|NuSTAR J105008-5958.8|10 50 08.678|-59 58 53.17|3.151e-14|    5.773e-15|      164.660|             30.163|3.747e-14|    1.303e-14|       78.081|             27.158|   0.000|                      |           27|288.300791| -0.601024|  773.258|      608.598|  616.590|      538.510| 1383.849|     1142.942|      240.906|             40.293|   399625.0|   347340.0|   347955.0|  9.156e-04|        1.677e-04|  4.995e-04|        1.738e-04|  1.539e-03|        2.573e-04|7.690e-14|    1.286e-14|XMM                  |       10 50 08.201|        -59 59 02.00|USNO            |10 50 08.323|-59 59 02.58|X                   |
|NuSTAR J033342-3613.9|03 33 42.264|-36 13 58.45|4.827e-14|    6.192e-15|      270.085|             34.648|8.822e-14|    1.585e-14|      191.653|             34.427|   0.559|             1.393e+44|           11|238.113657|-54.573325|  976.834|      706.750|  949.757|      758.104| 1916.705|     1456.959|      459.746|             48.491|   310633.0|   262845.0|   263266.0|  1.402e-03|        1.799e-04|  1.176e-03|        2.113e-04|  2.817e-03|        2.971e-04|1.408e-13|    1.485e-14|CXO                  |       03 33 42.900|        -36 13 59.99|WISE            |03 33 42.877|-36 14 01.72|X                   |
|NuSTAR J104905-5953.2|10 49 05.311|-59 53 16.38|1.438e-14|   -9.900e+01|       58.021|            -99.000|5.536e-14|    1.516e-14|       83.709|             22.919|        |                      |           25|288.140527| -0.577206|  374.332|      345.168|  446.880|      363.171|  818.212|      704.490|      113.722|             30.933|   308623.0|   252070.0|   252384.0|  4.178e-04|       -9.900e+01|  7.380e-04|        2.020e-04|  1.001e-03|        2.724e-04|5.005e-14|    1.361e-14|XMM                  |       10 49 06.701|        -59 53 12.01|                |            |            |X                   |
|NuSTAR J182438-2447.8|18 24 38.959|-24 47 53.66|6.008e-14|    1.015e-14|      320.326|             54.122|1.111e-13|    2.094e-14|      257.003|             48.447|        |                      |           57|  7.872681| -5.568149| 2401.891|     2081.565| 1917.522|     1660.518| 4304.350|     3750.513|      553.836|             72.367|   295970.0|   279873.0|   290256.0|  1.746e-03|        2.949e-04|  1.481e-03|        2.792e-04|  3.078e-03|        4.021e-04|1.538e-13|    2.010e-14|CXO                  |       18 24 36.518|        -24 48 10.51|                |            |            |X                   |
|NuSTAR J081911+7046.6|08 19 11.605|+70 46 38.23|3.501e-14|    6.262e-15|      176.864|             31.637|8.347e-14|    1.625e-14|      168.037|             32.712|   0.720|             2.405e+44|           17|144.207914| 32.686251|  860.879|      684.015|  920.107|      752.070| 1775.019|     1421.219|      353.801|             45.189|   280459.0|   243573.0|   244003.0|  1.017e-03|        1.819e-04|  1.113e-03|        2.166e-04|  2.339e-03|        2.987e-04|1.169e-13|    1.493e-14|XMM                  |       08 19 10.001|        +70 46 41.02|WISE            |08 19 10.229|+70 46 41.30|X                   |
|NuSTAR J120259+4430.4|12 02 59.410|+44 30 27.92|3.847e-14|    9.524e-15|       88.628|             21.939|7.768e-14|    2.001e-14|       77.566|             19.984|   0.465|             7.955e+43|           30|148.995410| 70.088288|  356.577|      267.949|  295.502|      217.936|  650.079|      485.003|      165.076|             29.417|   255755.0|   241629.0|   242083.0|  1.118e-03|        2.767e-04|  1.036e-03|        2.668e-04|  2.200e-03|        3.920e-04|1.099e-13|    1.959e-14|XMM                  |       12 02 59.143|        +44 30 23.83|SDSS            |12 02 59.149|+44 30 24.62|T                   |
|NuSTAR J110445+3811.1|11 04 45.077|+38 11 09.78|2.093e-14|   -9.900e+01|       69.285|            -99.000|4.198e-14|   -9.900e+01|       55.095|            -99.000|   0.144|            -3.077e+42|           28|179.839328| 65.093863|  602.476|      568.256|  346.508|      318.932|  945.574|      882.361|      113.469|            -99.000|   253189.0|   218782.0|   219161.0|  6.081e-04|       -9.900e+01|  5.596e-04|       -9.900e+01|  1.151e-03|       -9.900e+01|5.750e-14|   -9.900e+01|XMM                  |       11 04 44.640|        +38 10 58.69|SDSS            |11 04 44.641|+38 10 58.91|T                   |
|NuSTAR J125711+2748.1|12 57 11.085|+27 48 11.48|1.227e-14|   -9.900e+01|       53.254|            -99.000|3.537e-14|   -9.900e+01|       67.470|            -99.000|   0.306|            -1.378e+43|           40| 61.161230| 88.557594|  710.051|      698.076|  576.666|      543.515| 1282.717|     1253.130|       82.094|            -99.000|   241004.0|   230799.0|   231254.0|  3.564e-04|       -9.900e+01|  4.715e-04|       -9.900e+01|  5.726e-04|       -9.900e+01|2.862e-14|   -9.900e+01|XMM                  |       12 57 11.412|        +27 48 14.44|SDSS            |12 57 11.414|+27 48 15.77|X                   |
|NuSTAR J125715+2746.6|12 57 15.142|+27 46 38.64|1.957e-14|   -9.900e+01|       83.122|            -99.000|5.651e-14|   -9.900e+01|      104.531|            -99.000|        |                      |           41| 59.979317| 88.555966|  784.174|      742.210|  661.586|      600.158| 1443.760|     1352.397|      154.482|            -99.000|   235820.0|   223795.0|   224234.0|  5.685e-04|       -9.900e+01|  7.534e-04|       -9.900e+01|  1.111e-03|       -9.900e+01|5.554e-14|   -9.900e+01|XMM                  |       12 57 15.199|        +27 46 32.02|WISE            |12 57 15.209|+27 46 42.67|X                   |
|NuSTAR J033313-3612.0|03 33 13.094|-36 12 00.07|4.909e-14|    7.060e-15|      203.390|             29.248|8.574e-14|    1.827e-14|      134.674|             28.700|        |                      |           10|238.066286|-54.673048|  718.893|      515.504|  682.508|      547.834| 1397.203|     1052.869|      344.334|             40.672|   229994.0|   190040.0|   190313.0|  1.426e-03|        2.051e-04|  1.143e-03|        2.436e-04|  2.918e-03|        3.447e-04|1.459e-13|    1.723e-14|                     |                   |                    |                |            |            |X                   |
|NuSTAR J043754-4716.0|04 37 54.080|-47 16 05.73|2.121e-14|    7.570e-15|       85.455|             30.497|6.983e-14|    2.063e-14|      104.926|             30.997|   0.337|             3.393e+43|           15|253.405600|-41.854598|  731.855|      646.400|  761.649|      656.722| 1489.504|     1288.030|      201.474|             43.148|   223646.0|   181790.0|   187035.0|  6.163e-04|        2.199e-04|  9.309e-04|        2.750e-04|  1.737e-03|        3.721e-04|8.684e-14|    1.860e-14|XMM                  |       04 37 54.158|        -47 15 51.55|USNO            |04 37 54.105|-47 15 50.51|E                   |
|NuSTAR J110727-5948.8|11 07 27.755|-59 48 50.91|5.558e-14|    8.344e-15|      195.703|             29.380|8.612e-14|    1.914e-14|      125.269|             27.836|        |                      |           29|290.200890|  0.462509|  701.250|      505.547|  618.689|      493.419| 1314.938|      993.185|      321.754|             40.167|   195468.0|   175989.0|   182754.0|  1.615e-03|        2.424e-04|  1.148e-03|        2.551e-04|  2.840e-03|        3.545e-04|1.419e-13|    1.772e-14|                     |                   |                    |                |            |            |E                   |
|NuSTAR J011053-4602.6|01 10 53.336|-46 02 40.01|1.613e-14|   -9.900e+01|       53.150|            -99.000|4.718e-14|   -9.900e+01|       64.315|            -99.000|   0.626|            -9.743e+43|            5|292.680190|-70.694683|  439.259|      415.839|  527.170|      495.444|  966.430|      910.215|      104.374|            -99.000|   182912.0|   164934.0|   165247.0|  4.687e-04|       -9.900e+01|  6.289e-04|       -9.900e+01|  1.019e-03|       -9.900e+01|5.092e-14|   -9.900e+01|XMM                  |       01 10 54.614|        -46 02 31.38|WISE            |01 10 54.514|-46 02 31.43|L                   |
|NuSTAR J121049+3928.5|12 10 49.468|+39 28 31.84|5.707e-14|    1.117e-14|      135.541|             26.519|5.654e-14|    2.362e-14|       54.342|             22.697|   0.023|             9.109e+40|           35|154.745306| 75.041055|  539.962|      404.421|  381.804|      327.461|  918.765|      729.655|      189.111|             34.635|   181638.0|   160202.0|   160503.0|  1.658e-03|        3.244e-04|  7.538e-04|        3.148e-04|  2.618e-03|        4.795e-04|1.309e-13|    2.397e-14|CXO                  |       12 10 49.603|        +39 28 21.76|SDSS            |12 10 49.604|+39 28 22.11|X                   |
|NuSTAR J121027+3929.1|12 10 27.126|+39 29 06.84|8.608e-13|    2.140e-14|     2715.706|             67.527|8.318e-13|    3.931e-14|     1037.354|             49.022|   0.615|             1.647e+45|           33|154.942690| 74.989554| 4048.321|     1332.614| 2027.173|      989.819| 6063.493|     2306.575|     3756.918|             83.111|   175146.0|   150884.0|   151145.0|  2.501e-02|        6.219e-04|  1.109e-02|        5.240e-04|  4.009e-02|        8.869e-04|2.004e-12|    4.433e-14|CXO                  |       12 10 26.602|        +39 29 08.23|SDSS            |12 10 26.587|+39 29 08.67|X                   |
|NuSTAR J022801+3115.9|02 28 01.196|+31 15 58.37|1.346e-14|   -9.900e+01|       41.270|            -99.000|6.671e-14|    2.706e-14|       81.347|             33.000|   1.857|            -5.114e+44|            6|146.086469|-27.226649|  655.083|      659.347|  834.433|      753.086| 1487.022|     1395.609|      156.137|            -99.000|   170205.0|   147527.0|   153088.0|  3.911e-04|       -9.900e+01|  8.894e-04|        3.608e-04|  1.645e-03|       -9.900e+01|8.222e-14|   -9.900e+01|XMM                  |       02 28 00.463|        +31 16 01.45|SDSS            |02 28 00.482|+31 16 01.17|E                   |
|NuSTAR J121038+3930.7|12 10 38.143|+39 30 44.91|3.817e-14|    1.100e-14|       75.765|             21.825|8.758e-14|    2.746e-14|       65.976|             20.684|   1.033|             5.988e+44|           34|154.770147| 74.989569|  403.489|      327.723|  361.392|      295.416|  764.881|      620.334|      144.546|             29.849|   151824.0|   125571.0|   125749.0|  1.109e-03|        3.195e-04|  1.168e-03|        3.660e-04|  2.554e-03|        5.275e-04|1.277e-13|    2.636e-14|CXO                  |       12 10 37.500|        +39 30 42.98|SDSS            |12 10 37.540|+39 30 44.14|X                   |
|NuSTAR J130324-6348.6|13 03 24.583|-63 48 41.64|4.281e-14|    1.242e-14|      116.733|             33.864|5.314e-14|   -9.900e+01|       60.193|            -99.000|        |                      |           44|304.252487| -0.970520|  897.386|      780.653|  601.934|      576.881| 1494.320|     1349.807|      144.513|             43.689|   151383.0|   137041.0|   138330.0|  1.244e-03|        3.608e-04|  7.084e-04|       -9.900e+01|  1.685e-03|        5.094e-04|8.422e-14|    2.546e-14|XMM                  |       13 03 23.899|        -63 48 06.98|                |            |            |X                   |
|NuSTAR J125744+2751.2|12 57 44.794|+27 51 14.12|1.074e-13|    1.362e-14|      292.601|             37.119|2.366e-13|    2.840e-14|      245.878|             29.515|   0.325|             1.058e+44|           42| 60.709221| 88.423954| 1177.891|      885.290|  752.111|      506.233| 1922.105|     1353.643|      568.462|             46.994|   151307.0|   125753.0|   125939.0|  3.119e-03|        3.957e-04|  3.154e-03|        3.786e-04|  7.280e-03|        6.019e-04|3.639e-13|    3.008e-14|XMM                  |       12 57 45.612|        +27 51 13.00|SDSS            |12 57 45.660|+27 51 13.74|X                   |
|NuSTAR J183454-0837.1|18 34 54.049|-08 37 07.03|7.579e-14|    1.406e-14|      188.130|             34.894|2.164e-13|    3.587e-14|      193.851|             32.128|        |                      |           59| 23.383840| -0.280398|  963.967|      775.837|  823.499|      629.648| 1785.466|     1396.378|      389.088|             47.150|   137794.0|   108372.0|   110515.0|  2.202e-03|        4.084e-04|  2.885e-03|        4.782e-04|  5.679e-03|        6.881e-04|2.838e-13|    3.439e-14|XMM                  |       18 34 52.831|        -08 37 10.13|                |            |            |E                   |
|NuSTAR J174614-3219.7|17 46 14.240|-32 19 45.76|7.083e-13|    2.952e-14|     1659.646|             69.167|6.386e-13|    5.339e-14|      561.656|             46.956|   0.000|                      |           54|357.170666| -1.878621| 3936.621|     2276.975| 1752.449|     1190.793| 5681.360|     3446.666|     2234.695|             83.276|   130078.0|   106405.0|   109514.0|  2.058e-02|        8.576e-04|  8.514e-03|        7.118e-04|  3.291e-02|        1.226e-03|1.645e-12|    6.130e-14|CXO                  |       17 46 14.191|        -32 19 49.01|                |            |            |X                   |
|NuSTAR J125021+2635.9|12 50 21.930|+26 35 57.35|1.056e-13|    1.415e-14|      224.804|             30.107|1.764e-13|    3.015e-14|      144.584|             24.721|   0.751|             5.621e+44|           38|278.541700| 89.419457|  755.495|      530.692|  504.808|      360.224| 1258.303|      886.460|      371.843|             38.702|   118141.0|    99185.0|   102712.0|  3.069e-03|        4.110e-04|  2.351e-03|        4.020e-04|  5.839e-03|        6.077e-04|2.918e-13|    3.037e-14|XMM                  |       12 50 22.224|        +26 35 58.16|SDSS            |12 50 22.266|+26 35 57.96|X                   |
|NuSTAR J170016+7840.7|17 00 16.422|+78 40 43.66|1.658e-13|    1.372e-14|      335.954|             27.795|1.673e-13|    2.615e-14|      142.797|             22.326|   0.778|             5.800e+44|           52|111.127019| 31.908943|  691.326|      355.372|  432.248|      289.451| 1119.574|      646.743|      472.831|             35.402|   112489.0|   103296.0|   103502.0|  4.817e-03|        3.985e-04|  2.230e-03|        3.486e-04|  7.368e-03|        5.517e-04|3.683e-13|    2.757e-14|XMM                  |       17 00 16.399|        +78 40 41.02|SDSS            |17 00 16.365|+78 40 40.82|X                   |
